precinct,date,citation_issued
W,2015-07-13,104
W,2015-07-20,95
W,2015-07-27,96
W,2015-08-03,100
W,2015-08-10,104
W,2015-08-17,111
W,2015-08-24,87
W,2015-08-31,103
W,2015-09-07,154
W,2015-09-14,171
W,2015-09-21,132
W,2015-09-28,139
W,2015-10-05,136
W,2015-10-12,120
W,2015-10-19,99
W,2015-10-26,167
W,2015-11-02,158
W,2015-11-09,128
W,2015-11-16,148
W,2015-11-23,237
W,2015-11-30,101
W,2015-12-07,153
W,2015-12-14,121
W,2015-12-21,121
W,2015-12-28,112
W,2016-01-04,62
