precinct,date,citation_issued
E,2014-09-28,6
E,2014-09-29,12
E,2014-09-30,4
E,2014-10-01,14
E,2014-10-02,6
E,2014-10-03,7
E,2014-10-04,11
E,2014-10-05,7
E,2014-10-06,6
E,2014-10-07,12
E,2014-10-08,5
E,2014-10-09,7
E,2014-10-10,10
E,2014-10-11,7
E,2014-10-12,5
E,2014-10-13,1
E,2014-10-14,17
E,2014-10-15,18
E,2014-10-16,7
E,2014-10-17,12
E,2014-10-18,9
E,2014-10-19,11
E,2014-10-20,9
E,2014-10-21,28
E,2014-10-22,8
E,2014-10-23,13
E,2014-10-24,25
E,2014-10-25,4
E,2014-10-26,4
E,2014-10-27,10
E,2014-10-28,5
E,2014-10-29,20
E,2014-10-30,10
E,2014-10-31,10
E,2014-11-01,6
E,2014-11-02,7
E,2014-11-03,8
E,2014-11-04,6
E,2014-11-05,12
E,2014-11-06,6
E,2014-11-07,9
E,2014-11-08,12
E,2014-11-09,21
E,2014-11-10,4
E,2014-11-11,12
E,2014-11-12,10
E,2014-11-13,11
E,2014-11-14,11
E,2014-11-15,6
E,2014-11-16,4
E,2014-11-17,3
E,2014-11-18,12
E,2014-11-19,16
E,2014-11-20,13
E,2014-11-21,16
E,2014-11-22,14
E,2014-11-23,6
E,2014-11-24,6
E,2014-11-25,5
E,2014-11-26,12
E,2014-11-27,8
E,2014-11-28,3
E,2014-11-29,2
E,2014-11-30,8
E,2014-12-01,5
E,2014-12-02,14
E,2014-12-03,7
E,2014-12-04,3
E,2014-12-05,3
E,2014-12-06,3
E,2014-12-07,10
E,2014-12-08,4
E,2014-12-09,11
E,2014-12-10,5
E,2014-12-11,3
E,2014-12-12,10
E,2014-12-13,13
E,2014-12-14,16
E,2014-12-15,12
E,2014-12-16,9
E,2014-12-17,19
E,2014-12-18,10
E,2014-12-19,18
E,2014-12-20,23
E,2014-12-21,9
E,2014-12-22,2
E,2014-12-23,9
E,2014-12-24,10
E,2014-12-25,7
E,2014-12-26,11
E,2014-12-27,9
E,2014-12-28,6
E,2014-12-29,8
E,2014-12-30,6
E,2014-12-31,17
E,2015-01-01,20
E,2015-01-02,24
E,2015-01-03,24
E,2015-01-04,20
E,2015-01-05,10
E,2015-01-06,20
E,2015-01-07,18
E,2015-01-08,15
E,2015-01-09,20
E,2015-01-10,14
E,2015-01-11,9
E,2015-01-12,21
E,2015-01-13,33
E,2015-01-14,17
E,2015-01-15,27
E,2015-01-16,13
E,2015-01-17,6
E,2015-01-18,15
E,2015-01-19,9
E,2015-01-20,25
E,2015-01-21,17
E,2015-01-22,12
E,2015-01-23,6
E,2015-01-24,21
E,2015-01-25,19
E,2015-01-26,12
E,2015-01-27,26
E,2015-01-28,29
E,2015-01-29,14
E,2015-01-30,21
E,2015-01-31,16
E,2015-02-01,7
E,2015-02-02,13
E,2015-02-03,11
E,2015-02-04,23
E,2015-02-05,14
E,2015-02-06,23
E,2015-02-07,24
E,2015-02-08,14
E,2015-02-09,11
E,2015-02-10,15
E,2015-02-11,11
E,2015-02-12,13
E,2015-02-13,10
E,2015-02-14,12
E,2015-02-15,13
E,2015-02-16,19
E,2015-02-17,10
E,2015-02-18,10
E,2015-02-19,12
E,2015-02-20,13
E,2015-02-21,17
E,2015-02-22,12
E,2015-02-23,9
E,2015-02-24,11
E,2015-02-25,17
E,2015-02-26,20
E,2015-02-27,16
E,2015-02-28,6
E,2015-03-01,10
E,2015-03-02,14
E,2015-03-03,16
E,2015-03-04,19
E,2015-03-05,18
E,2015-03-06,15
E,2015-03-07,8
E,2015-03-08,3
E,2015-03-09,11
E,2015-03-10,17
E,2015-03-11,17
E,2015-03-12,15
E,2015-03-13,17
E,2015-03-14,9
E,2015-03-15,11
E,2015-03-16,8
E,2015-03-17,18
E,2015-03-18,14
E,2015-03-19,10
E,2015-03-20,13
E,2015-03-21,22
E,2015-03-22,7
E,2015-03-23,17
E,2015-03-24,17
E,2015-03-25,18
E,2015-03-26,12
E,2015-03-27,13
E,2015-03-28,7
E,2015-03-29,10
E,2015-03-30,4
E,2015-03-31,15
E,2015-04-01,15
E,2015-04-02,7
E,2015-04-03,6
E,2015-04-04,13
E,2015-04-05,13
E,2015-04-06,13
E,2015-04-07,12
E,2015-04-08,28
E,2015-04-09,12
E,2015-04-10,13
E,2015-04-11,17
E,2015-04-12,10
E,2015-04-13,15
E,2015-04-14,8
E,2015-04-15,14
E,2015-04-16,8
E,2015-04-17,14
E,2015-04-18,10
E,2015-04-19,8
E,2015-04-20,7
E,2015-04-21,6
E,2015-04-22,13
E,2015-04-23,13
E,2015-04-24,11
E,2015-04-25,15
E,2015-04-26,12
E,2015-04-27,13
E,2015-04-28,12
E,2015-04-29,17
E,2015-04-30,9
E,2015-05-01,4
E,2015-05-02,6
E,2015-05-03,12
E,2015-05-04,13
E,2015-05-05,9
E,2015-05-06,17
E,2015-05-07,7
E,2015-05-08,18
E,2015-05-09,16
E,2015-05-10,13
E,2015-05-11,8
E,2015-05-12,11
E,2015-05-13,8
E,2015-05-14,8
E,2015-05-15,10
E,2015-05-16,16
E,2015-05-17,12
E,2015-05-18,14
E,2015-05-19,11
E,2015-05-20,9
E,2015-05-21,10
E,2015-05-22,11
E,2015-05-23,11
E,2015-05-24,6
E,2015-05-25,10
E,2015-05-26,4
E,2015-05-27,11
E,2015-05-28,4
E,2015-05-29,5
E,2015-05-30,11
E,2015-05-31,6
E,2015-06-01,18
E,2015-06-02,18
E,2015-06-03,7
E,2015-06-04,17
E,2015-06-05,7
E,2015-06-06,7
E,2015-06-07,9
E,2015-06-08,6
E,2015-06-09,8
E,2015-06-10,15
E,2015-06-11,6
E,2015-06-12,7
E,2015-06-13,8
E,2015-06-14,12
E,2015-06-15,14
E,2015-06-16,24
E,2015-06-17,14
E,2015-06-18,8
E,2015-06-19,6
E,2015-06-20,11
E,2015-06-21,13
E,2015-06-22,12
E,2015-06-23,9
